name,team,wght,desc
2nd Try,Squid Robotics,ANTWEIGHT,2nd Try is a googly-eyed horizontal spinner with a massive weapon - watch out!
80 Pc Rotary Fool Kit,Kiron Robotics,ANTWEIGHT,A $6.99 knockoff Dremel from harbor freight shoved in an ant with a drill bit.
Aardvark,Sneaky Tiger Robotics,ANTWEIGHT,Aardvark utilizes front-facing forks to control it's opponent.
Ampere,Luner Robotics,ANTWEIGHT,Vertical Drisk
AntMINE,Sneaky Tiger Robotics,ANTWEIGHT,AntMINE is the immovable object to your unstoppable force. It's sole purpose is cancelling kinetic weapons. Pray you can go the distance in the durability game.
BlackBaron,Dah Bot Boyz,ANTWEIGHT,BlackBaron is a TPU pusher bot, sporting some frontward facing forks.
Blastwave,Kepler Electronics,ANTWEIGHT,Drum Spinner with four wheels.
Blight,Giddy Bots,ANTWEIGHT,Blight is a 4WD vert. It features large titanium plows which provide ample front-end defense.
BONK,Team Apples,ANTWEIGHT,this is BONK's first competition BONK's servo comes from an old robot dog and has over 10 replacements! so hit it hard! BONK 's Frame is printed using a PETG filament that has more durable properties than regular PETG BONK likes being scratched under the wheels
Bowser's Fury,Putz Robotics,ANTWEIGHT,Bowser's Fury takes on a new meaning of terror as it spins and launches the competition across the arena!
Cavorting Beastie,Relentless Robotics,ANTWEIGHT,A durable wedge bot that dances around the arena!
Chaotic Destructor,Putz Robotics,BEETLEWEIGHT,Big brother of Chaotic Rampage, Chaotic Destructor is coming into battle with some fierce hitting power. Sporting a 6 inch AR500 steel weapon, it's ready to deal massive damage!. 
Chaotic Rampage,Putz Robotics,ANTWEIGHT,Chaotic Rampage is a verticle bar spinner that is set up to do big, one hit damage. It's 6 bar deals out serious damage while still being nimble. You never know what's going to happen after each hit so watch out!
Chicken Dinner,Greasy Seals,ANTWEIGHT,Utilizes a vertical spinner and a wedge. It looks to be based on the FingerTech Viper design.
Circuit Breaker,Da Boyz,BEETLEWEIGHT,This bot is TBD
Confidently Incorrect,Blackpony Productions,BEETLEWEIGHT,Vertical Spinner and has Previously won first at an RSL event
CookieCutter,Dead Batteries Robotics,ANTWEIGHT,Cookie Cutter utilizes a vertical spinner and wedge. It is a returning RSL champion, having taken 1st at the first RSL Legion tournament.
Exogenesis,Knights of Cydonia,ANTWEIGHT,Exogenesis is using a flipper - very cool!
Fairy Powerful,Fairy Powerful,BEETLEWEIGHT,A 4-wheel drive drisk with a Sylveon-inspired paint scheme. This is the bot I've wanted to build since I decided to build robots.
Faraday,Luner Robotics,BEETLEWEIGHT,Shuffler Undercutter
FP Mini,Fairy Powerful,ANTWEIGHT,4WD dual-disk vertical spinner.  Antweight (U.S.) version of my Sylveon-inspired bot concept Fairy Powerful.
GraFight,Mobot,ANTWEIGHT,GraFight is a returning champ, and one of the very few bots to have made it to every single RSL event in Minnesota. GraFight is an RSL favorite - nicknamed The Roomba of Doom.
Greenhorn,Iron Legion,ANTWEIGHT,Greenhorn is a new design; it sports an overhead saw for top armor inspections, TPU chassis, Repeat Robotics brushless drives, a 4S battery, and an AM32 4-in-1 ESC. 
GRIMM,Hanson,BEETLEWEIGHT,2wd brushless undercutter 
HackThePlanet!,Dah Bot Boyz,ANTWEIGHT,Mess With The Best  Die Like The Rest
Heisenberg,AMP Robotics,ANTWEIGHT,Walter White v2
Jimmy Jazz,Kiron Robotics,ANTWEIGHT,Jimmy Jazz is a beta edition of the new Scalar 1 lbs combat robot kit. Current record: 5 wins, 2 losses.
Johhny Crash,Kiron Robotics,ANTWEIGHT,Johhny Crash is a circular bot with a metal shell. It has fought in previous tournaments under the alias Supernova.
Lawnmower of Chaos,Team Fireball Robotics,ANTWEIGHT,Lawnmower of Chaos (L.M.O.C.) is an overhead, full-body bar spinner. Also, it could possibly cut grass, but we haven't tested it.
Mars,Night Sky Robotics,ANTWEIGHT,All of Night Sky Robotics bots have celestial themes to them Mars features a vertical drum spinner with hardened steel blades, aluminum chassis covered Ultra High Molecular Weight Polyethylene This bot is driven by 9 year old Rory, while his sister Molly helps in the pits and dad Matt builds and maintains the bot
Melon Brawler,Kepler Electronics,BEETLEWEIGHT,4wd liftyboi
Metis,Ganymede Combat Robotics,ANTWEIGHT,Metis, the goddess of wisdom, teaches us the ways of combat and changes as the need arises. What does she bring to the challenge this time and are you ready?
Neon,Dah Bot Boyz,ANTWEIGHT,Neon is a TPU pusher bot, with a large front wedge.
Noctilucent,The Weather,BEETLEWEIGHT,Noctilucent is a drisc, vertical spinner. It appears to utilize large ablative foam wheels.
Painkiller,Dead Batteries Robotics,ANTWEIGHT,Faster than a bullet. Terrifying scream. Enraged and full of anger. He is the Painkiller. This is the Painkiller.
Pork Lift,Team Fireball Robotics,ANTWEIGHT,Pork Lift is a pig-themed lifter, capable of using either a forked or wedge configuration. Both include googly eyes. Oink!
Project Mayhem,Experimental Designs,ANTWEIGHT,Project Mayhem is a bristle bot, it moves by vibrating on toothbrush heads. It has a “turtle mode” where it sits on it's belly to get more traction and a faster spin up. It started as a joke robot and has never successfully reached full speed, but has as much damage potential as the average robot at only 25% throttle. The weapon system weighs as much as its opponents. 
RedDragon,Dah Bot Boyz,ANTWEIGHT,RedDragon is a TPU pusher bot, sporting a really cool sticker.
Rip and Tear,Putz Robotics,ANTWEIGHT,Rip & Tear, formerly Tornado of Destruction & Dad's Spinner, is a returning RSL finalist. It is a horizontal spinner that can cause some serious damage! Just like Doom Guy, this bot rips and tears its way through the competition. 
Robot A,Team Clear,ANTWEIGHT,A rectangular test platform with delusions of grandeur.
Sash,Team Kwin-Alt,ANTWEIGHT,Sash is a fully upgraded kit bot! Seen here using a 2-wheel drive system and horizontal spinner.
Skippy,Snuffy Robotics,BEETLEWEIGHT,Skippy is a returning RSL finalist. It utilizes a FingerTech beater bar.
SLAM,Team Fireball Robotics,ANTWEIGHT,SLAM or Slightly Larger Awesome Machine is a returning RSL champ, having won the Minnesota Mecha Melee. It is a uniquely designed vertical spinner with wedges on each side.
Specture,AMP Robotics,BEETLEWEIGHT,Both RSL and MRCA has seen the beetleweight version of Specture perform quite well - having taken second place at the Minnesota Monster Mash and first place at the MRCA Finals in 2023.
spin to win,team Kwin-alt,ANTWEIGHT,as long as the blade keeps going, I'm winning
Starting Bonus,Broke engineers,BEETLEWEIGHT,Vertical Spinner that is new to RSL
TBD,Greasy Seals,BEETLEWEIGHT,TBD's new experimental design is a complete overhaul. It utilizes an egg-beater style vertical spinner and has steel, UHMW, HDPE, and carbon fiber components.
The Throngler,Relentless Robotics,BEETLEWEIGHT,Prepare to be Throngled! A mediocre horizontal plus a mediocre wedge bot hopefully adds up to more than the sum of its parts.
The weather jr,the weather,ANTWEIGHT,Dumb dumb silly robors
Thebe,Ganymede Combat Robotics,ANTWEIGHT,Thebe, daughter of Zues, is honing her hunting skills in the combat arena.  Her first outing was a learning experience, this outing she isn't bothering to take names!
Theseus,GBT Robotics,ANTWEIGHT,Horizontal Spinner
Wedge Issue,Blackpony Productions,ANTWEIGHT,wedge
wheely cheesy,team Kwin-alt,ANTWEIGHT,A robot inspired by wheely big cheese of robot wars